"","participante","Já.realizou.alguma.pesquisa.sobre.simbolismo.sonoro.","Já.participou.de.algum.experimento.relacionado.a.dar.nomes.a.Pokémons.","nome","tipo","pokemon","transcript","mantem"
"1","pl1","Não","Não","violetinhav","voador","Bombo","b~o-bo","sim"
"2","pl2","Não","Não","violetinhav","voador","Baulux","baw-luS","sim"
"3","pl3","Não","Não","violetinhav","voador","Yozu","io-'zu","sim"
"4","pl4","Não","Não","violetinhav","voador","bililido","bi-li-'li-do","sim"
"5","pl5","Não","Não","violetinhav","voador","Montegoy","m~o-'te-goj","sim"
"6","pl6","Não","Não","violetinhav","voador","Lilitu","li-li-'tu","sim"
"7","pl7","Não","Não","violetinhav","voador","Bulucardo","bu-lu-'kaR-do","sim"
"8","pl8","Não","Não","violetinhav","voador","Finjer","f~i-'ZeR","sim"
"9","pl9","Não","Não","violetinhav","voador","Butazi","bu-ta-'zi","sim"
"10","pl10","Não","Não","violetinhav","voador","Vôcego","vo-se-go","nao"
"11","pl11","Não","Não","violetinhav","voador","Batpuff","ba-ti-'pu-fi","nao"
"12","pl12","Não","Não","violetinhav","voador","Zulbart","zuw-'baR-ti","nao"
"13","pl13","Não","Não","violetinhav","voador","Bofu","bo-'fu","sim"
"14","pl14","Não","Não","violetinhav","voador","Paranã","pa-ra-'n~a","sim"
"15","pl15","Não","Não","violetinhav","voador","Vampifofi","v~a-pi-fo-'fi","nao"
"16","pl16","Não","Não","violetinhav","voador","Bigvô","bi-gi-'vo","nao"
"17","pl17","Não","Não","violetinhav","voador","Fligo","fli-go","sim"
"18","pl18","Não","Não","violetinhav","voador","Oncle","~o-kle","sim"
"19","pl19","Não","Não","violetinhav","voador","Marumi","ma-ru-'mi","sim"
"20","pl20","Não","Não","violetinhav","voador","Nito","ni-to","sim"
"21","pl21","Não","Não","violetinhav","voador","Voulimom","vow-'li-m~o","sim"
"22","pl22","Não","Não","violetinhav","voador","Vovocego","vo-vo-'se-go","nao"
"23","pl23","Não","Não","violetinhav","voador","Fluzu","flu-'zu","sim"
"24","pl24","Não","Não","violetinhav","voador","Xobunet","So-bu-'ne-ti","nao"
"25","pl25","Não","Não","violetinhav","voador","Barba Roxa","baR-ba 'ho-Sa","nao"
"26","pl26","Não","Não","violetinhav","voador","Balofo","ba-'lo-fo","nao"
"27","pl1","Não","Não","besourinhonv","evil","Haia","aj-a","nao"
"28","pl2","Não","Não","besourinhonv","evil","Traxie","tra-'Si-e","nao"
"29","pl3","Não","Não","besourinhonv","evil","Gotan","go-t~a","nao"
"30","pl4","Não","Não","besourinhonv","evil","tartau","taR-'taw","nao"
"31","pl5","Não","Não","besourinhonv","evil","Ispirinto","is-pi-'r~i-to","sim"
"32","pl6","Não","Não","besourinhonv","evil","Gasnei","gas-'nej","sim"
